Position,Position Rank,Player,Team,Bye Week,Projected Points,Roster Status,FantasySharks PID,Player Page
QB,45,Joe Milton,DAL,14,43,Available,16585,https://www.fantasysharks.com/players/playerpage.php?PID=16585
QB,46,Justin Fields,KCC,5,42,Available,15238,https://www.fantasysharks.com/players/playerpage.php?PID=15238
QB,47,Anthony Richardson,IND,13,39,Available,16152,https://www.fantasysharks.com/players/playerpage.php?PID=16152
QB,48,Kenny Pickett,CAR,5,37,Available,15692,https://www.fantasysharks.com/players/playerpage.php?PID=15692
QB,49,Quinn Ewers,MIA,6,28,Available,17034,https://www.fantasysharks.com/players/playerpage.php?PID=17034
QB,50,Ty Simpson,LAR,11,26,Available,17463,https://www.fantasysharks.com/players/playerpage.php?PID=17463
QB,51,Jake Browning,TBB,10,24,Available,14358,https://www.fantasysharks.com/players/playerpage.php?PID=14358
QB,52,Gardner Minshew,ARI,14,23,Available,14067,https://www.fantasysharks.com/players/playerpage.php?PID=14067
QB,53,Carson Wentz,MIN,6,20,Other Roster,12610,https://www.fantasysharks.com/players/playerpage.php?PID=12610
QB,54,Andy Dalton,PHI,10,19,Available,10313,https://www.fantasysharks.com/players/playerpage.php?PID=10313
QB,55,Tyler Huntley,BAL,13,17,Available,14789,https://www.fantasysharks.com/players/playerpage.php?PID=14789
QB,56,Cade Klubnik,NYJ,13,16,Available,17467,https://www.fantasysharks.com/players/playerpage.php?PID=17467
QB,57,Trey Lance,LAC,7,13,Available,15240,https://www.fantasysharks.com/players/playerpage.php?PID=15240
QB,58,Will Levis,TEN,9,4,Available,16149,https://www.fantasysharks.com/players/playerpage.php?PID=16149
